id,item_id,dept_id,cat_id,store_id,state_id,d,sales,date,wm_yr_wk,weekday,wday,month,year,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI,sell_price,is_weekend,quarter,lag_7,lag_28,rolling_mean_7,rolling_std_7,is_festival,snap,predicted_demand,demand_std,safety_stock,reorder_point,current_inventory,stockout_risk,recommended_order,risk_score,risk_level,recommendation
FOODS_1_009_CA_2_validation,FOODS_1_009,FOODS_1,FOODS,CA_2,CA,d_1886,0,2016-03-28,11609,Monday,3,3,2016,,,,,0,0,0,2.24,0,1,0.0,0.0,0.0,0.0,0,0,0.12056109,0.0,0.0,0.8439276218414307,0.14467332,HIGH,0.6992543041706085,82.85714154548606,CRITICAL,Urgent stock replenishment required
FOODS_1_002_CA_3_validation,FOODS_1_002,FOODS_1,FOODS,CA_3,CA,d_1886,0,2016-03-28,11609,Monday,3,3,2016,,,,,0,0,0,9.48,0,1,0.0,1.0,0.7142857142857143,1.1126972805283737,0,0,0.6229904,1.1126972805283737,4.857468476480316,9.218401303476167,0.7475885,HIGH,8.47081278819449,91.89025850936031,CRITICAL,Urgent stock replenishment required
FOODS_1_009_CA_3_validation,FOODS_1_009,FOODS_1,FOODS,CA_3,CA,d_1886,0,2016-03-28,11609,Monday,3,3,2016,,,,,0,0,0,1.98,0,1,0.0,0.0,0.0,0.0,0,0,0.1231853,0.0,0.0,0.8622971177101135,0.14782237,HIGH,0.7144747525453568,82.85714261027466,CRITICAL,Urgent stock replenishment required
FOODS_1_001_WI_1_validation,FOODS_1_001,FOODS_1,FOODS,WI_1,WI,d_1886,1,2016-03-28,11609,Monday,3,3,2016,,,,,0,0,0,2.24,0,1,0.0,0.0,0.5714285714285714,0.9759000729485333,0,0,0.6737767,0.9759000729485333,4.260281680828159,8.976718543773716,0.80853206,HIGH,8.168186484581058,90.9930109176314,CRITICAL,Urgent stock replenishment required
FOODS_1_008_TX_1_validation,FOODS_1_008,FOODS_1,FOODS,TX_1,TX,d_1886,0,2016-03-28,11609,Monday,3,3,2016,,,,,0,0,0,3.54,0,1,0.0,1.0,0.0,0.0,0,0,0.20354798,0.0,0.0,1.4248359203338623,0.24425758,HIGH,1.1805783361196518,82.85714300654513,CRITICAL,Urgent stock replenishment required
FOODS_1_010_CA_2_validation,FOODS_1_010,FOODS_1,FOODS,CA_2,CA,d_1886,0,2016-03-28,11609,Monday,3,3,2016,,,,,0,0,0,5.64,0,1,0.0,0.0,0.14285714285714285,0.3779644730092282,0,0,0.311638,0.3779644730092282,1.6500000000000041,3.8314661026001016,0.37396562,HIGH,3.4575004816055337,90.23962078795927,CRITICAL,Urgent stock replenishment required
FOODS_1_010_CA_4_validation,FOODS_1_010,FOODS_1,FOODS,CA_4,CA,d_1886,0,2016-03-28,11609,Monday,3,3,2016,,,,,0,0,0,5.56,0,1,0.0,0.0,0.0,0.0,0,0,0.09730765,0.0,0.0,0.6811535358428955,0.11676919,HIGH,0.5643843486905098,82.85714145080532,CRITICAL,Urgent stock replenishment required
FOODS_1_004_WI_2_validation,FOODS_1_004,FOODS_1,FOODS,WI_2,WI,d_1886,0,2016-03-28,11609,Monday,3,3,2016,,,,,0,0,0,1.96,0,1,0.0,0.0,0.0,7.389734084383283e-07,0,0,0.33279186,7.389734084383283e-07,3.2259807759590005e-06,2.329546339689272,0.39935026,HIGH,1.930196083961504,82.85716626778776,CRITICAL,Urgent stock replenishment required
FOODS_1_008_CA_3_validation,FOODS_1_008,FOODS_1,FOODS,CA_3,CA,d_1886,0,2016-03-28,11609,Monday,3,3,2016,,,,,0,0,0,3.54,0,1,0.0,0.0,0.0,0.0,0,0,0.12974538,0.0,0.0,0.9082176685333252,0.15569445,HIGH,0.7525232136249542,82.85714313840636,CRITICAL,Urgent stock replenishment required
FOODS_1_004_CA_3_validation,FOODS_1_004,FOODS_1,FOODS,CA_3,CA,d_1886,0,2016-03-28,11609,Monday,3,3,2016,,,,,0,0,0,1.5,0,1,0.0,3.0,0.0,0.0,0,0,1.0848104,0.0,0.0,7.593672752380371,1.3017725,HIGH,6.291900277137756,82.85714281229,CRITICAL,Urgent stock replenishment required
FOODS_1_004_CA_1_validation,FOODS_1_004,FOODS_1,FOODS,CA_1,CA,d_1886,0,2016-03-28,11609,Monday,3,3,2016,,,,,0,0,0,1.96,0,1,0.0,0.0,0.0,0.0,0,0,0.27270588,0.0,0.0,1.9089411497116089,0.32724708,HIGH,1.5816940665245056,82.85714134055198,CRITICAL,Urgent stock replenishment required
FOODS_1_004_CA_4_validation,FOODS_1_004,FOODS_1,FOODS,CA_4,CA,d_1886,0,2016-03-28,11609,Monday,3,3,2016,,,,,0,0,0,1.96,0,1,0.0,0.0,0.0,0.0,0,0,0.27270588,0.0,0.0,1.9089411497116089,0.32724708,HIGH,1.5816940665245056,82.85714134055198,CRITICAL,Urgent stock replenishment required
FOODS_1_010_TX_3_validation,FOODS_1_010,FOODS_1,FOODS,TX_3,TX,d_1886,0,2016-03-28,11609,Monday,3,3,2016,,,,,0,0,0,6.27,0,1,0.0,1.0,0.7142857142857143,0.9511897312113422,0,0,0.66507417,0.9511897312113422,4.1524089393989145,8.807927948035388,0.798089,HIGH,8.009838920630603,90.93896961790202,CRITICAL,Urgent stock replenishment required
FOODS_1_006_TX_1_validation,FOODS_1_006,FOODS_1,FOODS,TX_1,TX,d_1886,1,2016-03-28,11609,Monday,3,3,2016,,,,,0,0,0,2.48,0,1,2.0,1.0,1.2857142857142858,0.951189731211342,0,0,1.0999371,0.951189731211342,4.152408939398913,11.851968627967029,1.3199246,HIGH,10.532044034995227,88.86324597706762,CRITICAL,Urgent stock replenishment required
FOODS_1_001_WI_2_validation,FOODS_1_001,FOODS_1,FOODS,WI_2,WI,d_1886,0,2016-03-28,11609,Monday,3,3,2016,,,,,0,0,0,2.24,0,1,0.0,0.0,0.2857142857142857,0.7559289460184545,0,0,0.5125748,0.7559289460184545,3.3,6.8880236625671385,0.6150898,HIGH,6.272933888435364,91.0701559073545,CRITICAL,Urgent stock replenishment required
