id,item_id,dept_id,cat_id,store_id,state_id,d,sales,date,wm_yr_wk,weekday,wday,month,year,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI,sell_price,is_weekend,quarter,lag_7,lag_28,rolling_mean_7,rolling_std_7,is_festival,snap,predicted_demand,demand_std,safety_stock,reorder_point,current_inventory,stockout_risk,recommended_order,risk_score,risk_level,recommendation,scenario_price,scenario_predicted_demand,current_revenue,scenario_revenue,revenue_change
FOODS_1_009_CA_2_validation,FOODS_1_009,FOODS_1,FOODS,CA_2,CA,d_1886,0,2016-03-28,11609,Monday,3,3,2016,,,,,0,0,0,2.24,0,1,0.0,0.0,0.0,0.0,0,0,0.12056109,0.0,0.0,0.8439276218414307,0.14467332,HIGH,0.6992543041706085,82.85714154548606,CRITICAL,Urgent stock replenishment required,2.4640000000000004,0.08049291,0.270056848526001,0.1983345394134522,-0.07172230911254879
FOODS_1_002_CA_3_validation,FOODS_1_002,FOODS_1,FOODS,CA_3,CA,d_1886,0,2016-03-28,11609,Monday,3,3,2016,,,,,0,0,0,9.48,0,1,0.0,1.0,0.7142857142857143,1.1126972805283737,0,0,0.6229904,1.1126972805283737,4.857468476480316,9.218401303476167,0.7475885,HIGH,8.47081278819449,91.89025850936031,CRITICAL,Urgent stock replenishment required,10.428,0.6229904,5.905949270725251,6.496544197797776,0.5905949270725248
FOODS_1_009_CA_3_validation,FOODS_1_009,FOODS_1,FOODS,CA_3,CA,d_1886,0,2016-03-28,11609,Monday,3,3,2016,,,,,0,0,0,1.98,0,1,0.0,0.0,0.0,0.0,0,0,0.1231853,0.0,0.0,0.8622971177101135,0.14782237,HIGH,0.7144747525453568,82.85714261027466,CRITICAL,Urgent stock replenishment required,2.178,0.1231853,0.2439068926870823,0.2682975819557905,0.024390689268708216
FOODS_1_001_WI_1_validation,FOODS_1_001,FOODS_1,FOODS,WI_1,WI,d_1886,1,2016-03-28,11609,Monday,3,3,2016,,,,,0,0,0,2.24,0,1,0.0,0.0,0.5714285714285714,0.9759000729485333,0,0,0.6737767,0.9759000729485333,4.260281680828159,8.976718543773716,0.80853206,HIGH,8.168186484581058,90.9930109176314,CRITICAL,Urgent stock replenishment required,2.4640000000000004,0.62631387,1.5092597770690919,1.5432373638153078,0.03397758674621598
FOODS_1_008_TX_1_validation,FOODS_1_008,FOODS_1,FOODS,TX_1,TX,d_1886,0,2016-03-28,11609,Monday,3,3,2016,,,,,0,0,0,3.54,0,1,0.0,1.0,0.0,0.0,0,0,0.20354798,0.0,0.0,1.4248359203338623,0.24425758,HIGH,1.1805783361196518,82.85714300654513,CRITICAL,Urgent stock replenishment required,3.8940000000000006,0.20354798,0.7205598646402359,0.7926158511042596,0.07205598646402367
FOODS_1_010_CA_2_validation,FOODS_1_010,FOODS_1,FOODS,CA_2,CA,d_1886,0,2016-03-28,11609,Monday,3,3,2016,,,,,0,0,0,5.64,0,1,0.0,0.0,0.14285714285714285,0.3779644730092282,0,0,0.311638,0.3779644730092282,1.6500000000000041,3.8314661026001016,0.37396562,HIGH,3.4575004816055337,90.23962078795927,CRITICAL,Urgent stock replenishment required,6.204,0.31334114,1.7576383066177368,1.943968437194824,0.18633013057708725
FOODS_1_010_CA_4_validation,FOODS_1_010,FOODS_1,FOODS,CA_4,CA,d_1886,0,2016-03-28,11609,Monday,3,3,2016,,,,,0,0,0,5.56,0,1,0.0,0.0,0.0,0.0,0,0,0.09730765,0.0,0.0,0.6811535358428955,0.11676919,HIGH,0.5643843486905098,82.85714145080532,CRITICAL,Urgent stock replenishment required,6.116,0.09730765,0.5410305464267731,0.5951336010694503,0.054103054642677284
FOODS_1_004_WI_2_validation,FOODS_1_004,FOODS_1,FOODS,WI_2,WI,d_1886,0,2016-03-28,11609,Monday,3,3,2016,,,,,0,0,0,1.96,0,1,0.0,0.0,0.0,7.389734084383283e-07,0,0,0.33279186,7.389734084383283e-07,3.2259807759590005e-06,2.329546339689272,0.39935026,HIGH,1.930196083961504,82.85716626778776,CRITICAL,Urgent stock replenishment required,2.156,0.24515507,0.6522720551490784,0.5285543228387833,-0.12371773231029504
FOODS_1_008_CA_3_validation,FOODS_1_008,FOODS_1,FOODS,CA_3,CA,d_1886,0,2016-03-28,11609,Monday,3,3,2016,,,,,0,0,0,3.54,0,1,0.0,0.0,0.0,0.0,0,0,0.12974538,0.0,0.0,0.9082176685333252,0.15569445,HIGH,0.7525232136249542,82.85714313840636,CRITICAL,Urgent stock replenishment required,3.8940000000000006,0.12974538,0.4592986419796944,0.5052285061776639,0.04592986419796952
FOODS_1_004_CA_3_validation,FOODS_1_004,FOODS_1,FOODS,CA_3,CA,d_1886,0,2016-03-28,11609,Monday,3,3,2016,,,,,0,0,0,1.5,0,1,0.0,3.0,0.0,0.0,0,0,1.0848104,0.0,0.0,7.593672752380371,1.3017725,HIGH,6.291900277137756,82.85714281229,CRITICAL,Urgent stock replenishment required,1.6500000000000001,1.0848104,1.627215564250946,1.7899371206760408,0.16272155642509478
